candidate_id,precision_at_5,recall_at_5,ndcg_at_5,reciprocal_rank
Candidate_001,1.0,0.7142857142857143,1.0,1.0
Candidate_002,1.0,0.7142857142857143,0.9840352219951628,1.0
Candidate_003,1.0,0.5555555555555556,1.0,1.0
Candidate_004,1.0,0.625,1.0,1.0
Candidate_005,1.0,0.45454545454545453,0.9762940786437024,1.0
Candidate_006,1.0,0.625,1.0,1.0
Candidate_007,0.4,1.0,1.0,1.0
Candidate_008,1.0,0.4166666666666667,0.867811381317105,1.0
Candidate_009,0.6,1.0,0.9518714281026601,1.0
Candidate_010,1.0,0.5,1.0,1.0
Candidate_011,0.8,1.0,0.9595620305869816,1.0
Candidate_012,1.0,0.4166666666666667,0.867811381317105,1.0
Candidate_013,1.0,0.45454545454545453,0.9908183105074706,1.0
Candidate_014,1.0,0.625,1.0,1.0
Candidate_015,0.4,1.0,1.0,1.0
Candidate_016,1.0,0.625,1.0,1.0
Candidate_017,1.0,0.5555555555555556,1.0,1.0
Candidate_018,0.4,1.0,1.0,1.0
Candidate_019,1.0,0.7142857142857143,0.9659238902765536,1.0
Candidate_020,1.0,0.8333333333333334,1.0,1.0
