candidate_id,selected_occupation,tfidf_similarity_score,tfidf_normalized_score,tfidf_percentage,tfidf_rank
Candidate_001,Administrative Assistant,0.014889534279604988,0.41637688252208815,41.64,2
Candidate_001,Bookkeeper,0.010643430307318702,0.230774283351105,23.08,4
Candidate_001,Continuing Care Assistant,0.005946846330024389,0.025480630840458075,2.55,13
Candidate_001,Delivery Driver,0.007812878992298242,0.1070472892446073,10.7,5
Candidate_001,"Driver, Truck",0.005732760672261172,0.01612267475049268,1.61,14
Candidate_001,Food Service Supervisor,0.006494618631253587,0.04942445405476987,4.94,8
Candidate_001,Information Technology (IT) Analyst,0.028241310863068334,1.0,100.0,1
Candidate_001,Inside Sales Representative,0.006304343108831278,0.04110726923058812,4.11,9
Candidate_001,Licensed Practical Nurse (L.P.N.),0.006018474990310616,0.02861161058354258,2.86,12
Candidate_001,Office Administrator,0.006084603310117848,0.03150216345627963,3.15,11
Candidate_001,Office Manager,0.006623895887626416,0.05507532717353881,5.51,7
Candidate_001,Restaurant Manager,0.0053639158737091835,0.0,0.0,15
Candidate_001,Retail Sales Associate,0.006297158114685646,0.04079320400817212,4.08,10
Candidate_001,Secondary School Teacher,0.006630853375915681,0.055379447825933945,5.54,6
Candidate_001,Software Developer,0.014418958252602254,0.3958074065296681,39.58,3
Candidate_002,Administrative Assistant,0.00869490170490566,0.3269241773564746,32.69,5
Candidate_002,Bookkeeper,0.011760638309603152,0.615498211030349,61.55,3
Candidate_002,Continuing Care Assistant,0.005221742998550792,0.0,0.0,15
Candidate_002,Delivery Driver,0.01068671363761623,0.5144109963028012,51.44,4
Candidate_002,"Driver, Truck",0.00660418776221486,0.13012783328176053,13.01,13
Candidate_002,Food Service Supervisor,0.007880444256855799,0.250260294790911,25.03,9
Candidate_002,Information Technology (IT) Analyst,0.01190410885843587,0.6290029181622739,62.9,2
Candidate_002,Inside Sales Representative,0.008604934042116274,0.31845563139216604,31.85,6
Candidate_002,Licensed Practical Nurse (L.P.N.),0.008214746474252414,0.2817277532778676,28.17,8
Candidate_002,Office Administrator,0.00615060045484842,0.0874322152989754,8.74,14
Candidate_002,Office Manager,0.007630782908994734,0.22675997774008175,22.68,11
Candidate_002,Restaurant Manager,0.007321324601776728,0.1976310461055258,19.76,12
Candidate_002,Retail Sales Associate,0.008595127088457685,0.31753251484948086,31.75,7
Candidate_002,Secondary School Teacher,0.007787720945606818,0.24153236301043218,24.15,10
Candidate_002,Software Developer,0.01584548681107333,1.0,100.0,1
Candidate_003,Administrative Assistant,0.01529515965585502,0.48338193597626333,48.34,9
Candidate_003,Bookkeeper,0.015421698489529867,0.49385388834382576,49.39,8
Candidate_003,Continuing Care Assistant,0.009454168000144926,0.0,0.0,15
Candidate_003,Delivery Driver,0.01905693904863203,0.7946948624069212,79.47,2
Candidate_003,"Driver, Truck",0.01195713780356652,0.20713783901493518,20.71,13
Candidate_003,Food Service Supervisor,0.01555996882213237,0.5052967023386274,50.53,7
Candidate_003,Information Technology (IT) Analyst,0.018806468917571248,0.7739667491013612,77.4,3
Candidate_003,Inside Sales Representative,0.015579566456432548,0.506918540370071,50.69,5
Candidate_003,Licensed Practical Nurse (L.P.N.),0.0148731167481308,0.44845500407398114,44.85,10
Candidate_003,Office Administrator,0.010975973075868742,0.1259397593836235,12.59,14
Candidate_003,Office Manager,0.013815828089259245,0.3609571494397498,36.1,11
Candidate_003,Restaurant Manager,0.01325554183497759,0.3145896368221291,31.46,12
Candidate_003,Retail Sales Associate,0.01556181058689173,0.5054491209461976,50.54,6
Candidate_003,Secondary School Teacher,0.01693113665269897,0.6187702012846005,61.88,4
Candidate_003,Software Developer,0.021537763229894924,1.0,100.0,1
Candidate_004,Administrative Assistant,0.005783961360500245,0.1375639163951849,13.76,4
Candidate_004,Bookkeeper,0.007537811204964367,0.20725166307230602,20.73,2
Candidate_004,Continuing Care Assistant,0.00232185410524041,0.0,0.0,15
Candidate_004,Delivery Driver,0.0049478394672127285,0.10434131705207032,10.43,6
Candidate_004,"Driver, Truck",0.004290629232211142,0.07822762179191788,7.82,8
Candidate_004,Food Service Supervisor,0.0035040487159128564,0.046973507345363055,4.7,13
Candidate_004,Information Technology (IT) Analyst,0.027489117047319732,1.0,100.0,1
Candidate_004,Inside Sales Representative,0.0038261939426271225,0.05977367665482116,5.98,10
Candidate_004,Licensed Practical Nurse (L.P.N.),0.0036526965861869622,0.052879905296392075,5.29,12
Candidate_004,Office Administrator,0.004635823789381848,0.09194363683754073,9.19,7
Candidate_004,Office Manager,0.005727684121777325,0.13532778770481288,13.53,5
Candidate_004,Restaurant Manager,0.003255435510164079,0.03709507096867231,3.71,14
Candidate_004,Retail Sales Associate,0.003821833269262229,0.05960040897072976,5.96,11
Candidate_004,Secondary School Teacher,0.004004827330517282,0.06687152389793502,6.69,9
Candidate_004,Software Developer,0.00734348075028064,0.1995301060984323,19.95,3
Candidate_005,Administrative Assistant,0.011870656011408092,0.4013550321188693,40.14,9
Candidate_005,Bookkeeper,0.011916714000007348,0.4055036558788876,40.55,8
Candidate_005,Continuing Care Assistant,0.007414815577831741,0.0,0.0,15
Candidate_005,Delivery Driver,0.014864515084472799,0.6710236664296415,67.1,3
Candidate_005,"Driver, Truck",0.00937787139500871,0.17682014028537024,17.68,14
Candidate_005,Food Service Supervisor,0.012043911714029232,0.41696085309178804,41.7,7
Candidate_005,Information Technology (IT) Analyst,0.015141519077780698,0.6959745030425033,69.6,2
Candidate_005,Inside Sales Representative,0.01221890832226062,0.432723484264159,43.27,5
Candidate_005,Licensed Practical Nurse (L.P.N.),0.011664846420463426,0.38281695468648935,38.28,10
Candidate_005,Office Administrator,0.010385499254257038,0.267581135397551,26.76,13
Candidate_005,Office Manager,0.01320721278590018,0.5217439453108104,52.17,4
Candidate_005,Restaurant Manager,0.010396197538385764,0.26854477182800895,26.85,12
Candidate_005,Retail Sales Associate,0.012204982559774999,0.4314691361937973,43.15,6
Candidate_005,Secondary School Teacher,0.011175758866664843,0.3387629195858166,33.88,11
Candidate_005,Software Developer,0.018516807771757106,1.0,100.0,1
Candidate_006,Administrative Assistant,0.008075293326959727,0.38656441596954527,38.66,6
Candidate_006,Bookkeeper,0.013812578444622279,1.0,100.0,1
Candidate_006,Continuing Care Assistant,0.004459868450254366,0.0,0.0,15
Candidate_006,Delivery Driver,0.009158447785692017,0.5023762458439401,50.24,3
Candidate_006,"Driver, Truck",0.005640608633636786,0.12624578160698313,12.62,14
Candidate_006,Food Service Supervisor,0.007669768774308133,0.3432053732005728,34.32,7
Candidate_006,Information Technology (IT) Analyst,0.008720770785831042,0.45557943506668536,45.56,5
Candidate_006,Inside Sales Representative,0.007349437508051433,0.3089552717380449,30.9,9
Candidate_006,Licensed Practical Nurse (L.P.N.),0.007016179968551598,0.27332308174172104,27.33,11
Candidate_006,Office Administrator,0.0075053621564410075,0.3256268726412559,32.56,8
Candidate_006,Office Manager,0.008845060177710046,0.4688685664471997,46.89,4
Candidate_006,Restaurant Manager,0.00625311215327855,0.19173519804463662,19.17,13
Candidate_006,Retail Sales Associate,0.007341061430709598,0.3080596941624674,30.81,10
Candidate_006,Secondary School Teacher,0.006737114227951934,0.24348512667118913,24.35,12
Candidate_006,Software Developer,0.011454150248533187,0.7478347775661485,74.78,2
Candidate_007,Administrative Assistant,0.009260350906655519,0.1929228909645385,19.29,4
Candidate_007,Bookkeeper,0.01052663843156725,0.24035902506387138,24.04,3
Candidate_007,Continuing Care Assistant,0.004110355976909819,0.0,0.0,15
Candidate_007,Delivery Driver,0.008463994043707445,0.1630907318390965,16.31,5
Candidate_007,"Driver, Truck",0.0066662913836638025,0.09574736568021257,9.57,11
