candidate_id,selected_occupation,recommendation_score,recommendation_percentage,occupation_rank,cip_program_count,cip_pathway_available,cip_status
Candidate_001,Software Developer,0.6947300771208227,69.47300771208226,1,20,True,CIP pathway available
Candidate_001,Information Technology (IT) Analyst,0.6739556847075916,67.39556847075916,2,22,True,CIP pathway available
Candidate_001,Secondary School Teacher,0.6688963210702341,66.88963210702342,3,92,True,CIP pathway available
Candidate_001,Bookkeeper,0.6682011331444759,66.8201133144476,4,1,True,CIP pathway available
Candidate_001,Licensed Practical Nurse (L.P.N.),0.6615295143937191,66.1529514393719,5,2,True,CIP pathway available
Candidate_002,Office Manager,0.5467625899280575,54.67625899280575,1,13,True,CIP pathway available
Candidate_002,Office Administrator,0.5382775119617226,53.82775119617226,2,13,True,CIP pathway available
Candidate_002,Software Developer,0.5382390745501285,53.82390745501285,3,20,True,CIP pathway available
Candidate_002,Secondary School Teacher,0.5365105908584169,53.65105908584169,4,92,True,CIP pathway available
Candidate_002,Information Technology (IT) Analyst,0.5286596440247002,52.86596440247002,5,22,True,CIP pathway available
Candidate_003,Administrative Assistant,0.8991596638655464,89.91596638655463,1,2,True,CIP pathway available
Candidate_003,Office Manager,0.8920863309352518,89.20863309352518,2,13,True,CIP pathway available
Candidate_003,Office Administrator,0.8821770334928231,88.2177033492823,3,13,True,CIP pathway available
Candidate_003,"Driver, Truck",0.8811881188118811,88.11881188118811,4,1,True,CIP pathway available
Candidate_003,Inside Sales Representative,0.8745668745668745,87.45668745668745,5,0,False,No CIP pathway in crosswalk
Candidate_004,Software Developer,0.7911311053984575,79.11311053984575,1,20,True,CIP pathway available
Candidate_004,Secondary School Teacher,0.7770345596432553,77.70345596432553,2,92,True,CIP pathway available
Candidate_004,Information Technology (IT) Analyst,0.7756629131856156,77.56629131856157,3,22,True,CIP pathway available
Candidate_004,Bookkeeper,0.7744334277620397,77.44334277620398,4,1,True,CIP pathway available
Candidate_004,Licensed Practical Nurse (L.P.N.),0.7743530095958127,77.43530095958127,5,2,True,CIP pathway available
Candidate_005,Software Developer,0.522172236503856,52.217223650385606,1,20,True,CIP pathway available
Candidate_005,Bookkeeper,0.5180594900849858,51.80594900849857,2,1,True,CIP pathway available
Candidate_005,Office Manager,0.5179856115107914,51.798561151079134,3,13,True,CIP pathway available
Candidate_005,Secondary School Teacher,0.5122630992196209,51.226309921962084,4,92,True,CIP pathway available
Candidate_005,Office Administrator,0.5083732057416268,50.83732057416268,5,13,True,CIP pathway available
Candidate_006,Software Developer,0.9035989717223649,90.35989717223649,1,20,True,CIP pathway available
Candidate_006,Information Technology (IT) Analyst,0.898292771521976,89.82927715219759,2,22,True,CIP pathway available
Candidate_006,Inside Sales Representative,0.896049896049896,89.6049896049896,3,0,False,No CIP pathway in crosswalk
Candidate_006,Retail Sales Associate,0.896049896049896,89.6049896049896,3,0,False,No CIP pathway in crosswalk
Candidate_006,Administrative Assistant,0.895126050420168,89.5126050420168,4,2,True,CIP pathway available
Candidate_007,Administrative Assistant,1.0000000000000002,100.00000000000003,1,2,True,CIP pathway available
Candidate_007,Food Service Supervisor,1.0000000000000002,100.00000000000003,1,5,True,CIP pathway available
Candidate_007,Bookkeeper,1.0,100.0,2,1,True,CIP pathway available
Candidate_007,Continuing Care Assistant,1.0,100.0,2,3,True,CIP pathway available
Candidate_007,Delivery Driver,1.0,100.0,2,1,True,CIP pathway available
Candidate_008,Software Developer,0.6866966580976863,68.66966580976863,1,20,True,CIP pathway available
Candidate_008,Licensed Practical Nurse (L.P.N.),0.6798487932538528,67.98487932538528,2,2,True,CIP pathway available
Candidate_008,Secondary School Teacher,0.6761426978818283,67.61426978818284,3,92,True,CIP pathway available
Candidate_008,Restaurant Manager,0.6714503816793893,67.14503816793894,4,10,True,CIP pathway available
Candidate_008,Information Technology (IT) Analyst,0.6693788594260806,66.93788594260806,5,22,True,CIP pathway available
Candidate_009,Administrative Assistant,0.2564705882352941,25.647058823529413,1,2,True,CIP pathway available
Candidate_009,Office Administrator,0.23175837320574166,23.175837320574168,2,13,True,CIP pathway available
Candidate_009,Delivery Driver,0.2282270606531882,22.82270606531882,3,1,True,CIP pathway available
Candidate_009,"Driver, Truck",0.2277227722772277,22.77227722772277,4,1,True,CIP pathway available
Candidate_009,Bookkeeper,0.22556657223796034,22.556657223796034,5,1,True,CIP pathway available
Candidate_010,Office Manager,0.9712230215827338,97.12230215827337,1,13,True,CIP pathway available
Candidate_010,Food Service Supervisor,0.9677419354838711,96.77419354838712,2,5,True,CIP pathway available
Candidate_010,Administrative Assistant,0.9663865546218489,96.63865546218489,3,2,True,CIP pathway available
Candidate_010,Inside Sales Representative,0.9653499653499653,96.53499653499654,4,0,False,No CIP pathway in crosswalk
Candidate_010,Retail Sales Associate,0.9653499653499653,96.53499653499654,4,0,False,No CIP pathway in crosswalk
